iter	MultiClass
0	0.2408747209
1	0.119536303
2	0.06264175776
3	0.03356988635
4	0.01834743625
5	0.01000981937
6	0.005482805368
7	0.003012699829
8	0.001675577104
9	0.0009635833268
10	0.0005746063689
11	0.0003493787398
12	0.0002235584922
13	0.0001481456226
14	0.0001045646099
15	7.907902517e-05
16	6.216405302e-05
17	5.12225134e-05
18	4.363223031e-05
19	3.826233642e-05
20	3.431303539e-05
21	3.115044014e-05
22	2.861296604e-05
23	2.657678558e-05
24	2.495293042e-05
25	2.355781824e-05
26	2.234403225e-05
27	2.127664596e-05
28	2.032933774e-05
29	1.94818713e-05
30	1.871841494e-05
31	1.802639119e-05
32	1.739567119e-05
33	1.681799883e-05
34	1.628657135e-05
35	1.579572866e-05
36	1.534071995e-05
37	1.491752559e-05
38	1.452271982e-05
39	1.415336351e-05
40	1.380691951e-05
41	1.348118533e-05
42	1.317423896e-05
43	1.288439499e-05
44	1.261016885e-05
45	1.235024733e-05
46	1.210346421e-05
47	1.186878003e-05
48	1.164526503e-05
49	1.143208492e-05
50	1.122848869e-05
51	1.103379842e-05
52	1.08474004e-05
53	1.066873766e-05
54	1.049730342e-05
55	1.033263551e-05
56	1.017431151e-05
57	1.002194445e-05
58	9.875179186e-06
59	9.733689094e-06
60	9.597173241e-06
61	9.465353867e-06
62	9.337974165e-06
63	9.214796307e-06
64	9.095599701e-06
65	8.980179428e-06
66	8.868344855e-06
67	8.75991839e-06
68	8.65473437e-06
69	8.552638055e-06
70	8.453484733e-06
71	8.357138902e-06
72	8.263473541e-06
73	8.17236944e-06
74	8.083714603e-06
75	7.997403699e-06
76	7.913337564e-06
77	7.831422749e-06
78	7.751571108e-06
79	7.673699417e-06
80	7.597729032e-06
81	7.523585571e-06
82	7.451198622e-06
83	7.380501482e-06
84	7.311430905e-06
85	7.24392688e-06
86	7.177932423e-06
87	7.113393384e-06
88	7.050258269e-06
89	6.988478076e-06
90	6.928006145e-06
91	6.868798015e-06
92	6.810811293e-06
93	6.754005534e-06
94	6.698342127e-06
95	6.643784193e-06
96	6.590296482e-06
97	6.537845286e-06
98	6.486398353e-06
99	6.435924806e-06
